id ,loan,mortgage,credit,positive,n_contact,l_call_duration,n_p_contact,p_days,subscribed,age_norm,account_min_max,pro2_cat,edu2_cat,status_cat,p_outcome_cat,Month_cat
510905,False,False,False,True,0.016129032258064516,0.12697695436059647,0.0,0.0,0.0,-1.0412399428599806,0.3259063519104599,5,2,2,3,0
510619,False,True,False,False,0.0,0.03976502485314054,0.007272727272727273,0.2729357798165138,0.0,-1.0412399428599806,0.3102364746605043,8,2,2,1,0
510300,False,True,False,True,0.0,0.02937189335743335,0.0,0.0,0.0,-0.7543923323318633,0.3346670325631729,3,1,2,3,0
510831,True,False,False,True,0.0,0.02711251694532309,0.0,0.0,0.0,-1.2324716832120586,0.33606693514169916,5,2,2,3,0
510579,False,False,False,True,0.0,0.025756891098056938,0.0,0.0,0.0,-0.7543923323318633,0.32680951486434784,5,2,1,3,0
510311,False,False,False,True,0.0,0.08788974243108903,0.0,0.0,0.0,-0.8500082025079024,0.4374921348633138,2,2,2,3,0
510323,False,False,False,True,0.0,0.05106190691369183,0.0,0.0,0.0,-1.3280875533880978,0.32762236152284696,5,2,2,3,0
511080,False,False,False,True,0.0,0.009263443289652055,0.0,0.0,0.0,-1.3280875533880978,0.33060279927067715,9,2,2,3,0
510678,False,True,False,True,0.0,0.019430637144148215,0.0,0.0,0.0,-1.0412399428599806,0.3318220692584259,5,2,2,3,0
510613,False,True,False,True,0.0,0.03253502033438772,0.02181818181818182,0.22935779816513763,0.0,-0.18069711127562899,0.3366088329140319,2,1,2,0,0
511182,False,True,False,True,0.03225806451612903,0.03953908721192951,0.0,0.0,0.0,-0.8500082025079024,0.3311898551907043,8,2,0,3,0
525160,False,True,False,True,0.04838709677419355,0.016267510167193855,0.014545454545454545,0.10435779816513763,0.0,2.0184679027732693,0.5180091122024229,5,2,1,1,0
525085,False,False,False,True,0.0,0.04179846362403977,0.0,0.0,0.0,2.1140837729493085,0.4362728648755651,0,2,1,3,0
510621,True,False,False,True,0.0,0.039990962494351565,0.0,0.0,0.0,-1.0412399428599806,0.3577428460350095,2,2,2,3,0
511255,False,True,False,True,0.016129032258064516,0.087663804789878,0.0,0.0,0.0,-0.08508124109958991,0.34789836983763106,1,2,1,3,0
525114,False,False,False,True,0.03225806451612903,0.03976502485314054,0.007272727272727273,0.23279816513761467,1.0,-1.997398644620371,0.35959433009047975,10,0,2,2,0
511024,False,False,False,True,0.016129032258064516,0.1323994577496611,0.0,0.0,0.0,-1.2324716832120586,0.33344776257542413,3,1,2,3,0
510142,False,True,False,True,0.0,0.014234071396294623,0.0036363636363636364,0.2821100917431193,0.0,1.157925071188918,0.3418471780465819,5,2,0,0,0
511162,True,True,False,True,0.0,0.08879349299593313,0.0,0.0,0.0,-0.27631298145166805,0.3259063519104599,6,2,1,3,0
510450,False,False,False,False,0.016129032258064516,0.019882512426570267,0.0,0.0,0.0,1.253540941364957,0.3249128726611832,9,2,1,3,0
510252,False,True,False,True,0.0,0.020108450067781294,0.014545454545454545,0.283256880733945,0.0,0.29738223960456633,0.343337396920497,9,2,1,0,0
511152,False,False,False,True,0.0,0.018300948938093087,0.0,0.0,0.0,-0.08508124109958991,0.35142070535779396,7,1,2,3,0
511242,False,False,False,True,0.016129032258064516,0.053321283325802084,0.0,0.0,0.0,0.29738223960456633,0.3791026498944591,6,1,1,3,0
511230,False,False,False,True,0.03225806451612903,0.056032535020334395,0.0,0.0,0.0,-1.0412399428599806,0.385018367242425,5,1,1,3,0
510694,False,False,False,True,0.0,0.0219159511974695,0.0,0.0,0.0,0.20176636942852727,0.44539481070983317,7,2,1,3,0
511156,False,True,False,True,0.0,0.033664708540442845,0.0,0.0,0.0,-0.7543923323318633,0.3744513606819362,8,2,0,3,0
511236,False,False,False,True,0.016129032258064516,0.6152281970176231,0.0,0.0,0.0,1.7316202922451522,0.3259063519104599,6,0,1,3,0
511198,False,True,False,False,0.016129032258064516,0.09624943515589698,0.0,0.0,0.0,-0.4675447218037462,0.3065335065495638,2,2,1,3,0
525125,False,False,False,True,0.016129032258064516,0.09692724807953006,0.01090909090909091,0.10665137614678899,0.0,1.9228520325972303,0.3295190037260116,0,2,1,0,0
510951,False,False,False,True,0.016129032258064516,0.03705377315860823,0.0,0.0,0.0,0.3929981097806054,0.3665035266877224,2,0,2,3,0
